NAME,RA,DEC,MASS [Mj],RADIUS [Rj],MAG_MOM [MMj],PLASMA_FRQ [MHz],FRQ [MHz],PHI_KIN [Jy],PHI_MAG [Jy]
HD 145377 b,242.9,-27.0780556,5.760000000000001,1.0715092585054897,3.9843209464920517,1.027310143030639,77.7280499864706,3.172522218496904e-05,1.1794439121574025e-32
HD 147873 b,246.4375,-33.45361112,5.14,1.0848753899442916,3.8582688922593706,0.3151983940525905,72.52106290282194,6.891688524130249e-07,3.471701460759567e-33
HD 47536 b,99.4458333,-32.3397222,5.0,1.094829436809564,3.8755125783823696,0.04664675812200385,70.87629303080222,1.786508085363121e-08,8.792085884180817e-35
HD 169830 c,276.9541667,-29.8166667,4.04,1.0816008348760562,3.399976592981257,0.03752988131897325,64.48907199031932,2.7845754673281173e-07,6.204983552992543e-35
HD 73267 b,129.075,-34.46,3.0600000000000005,1.0843150361469613,2.9738762361133753,0.04235810584804327,55.984485549142335,1.0103922719779937e-07,1.7527336893092063e-34
HD 181342 b,290.2666667,-23.6194444,2.9,1.0937860987379253,2.945879748705305,0.20804733132673864,54.02926482339187,8.744845604277792e-07,5.989755359325518e-35
HD 165155 b,271.4875,-29.91722224,2.89,1.0865920190310208,2.9022389077493993,0.0570467765054838,54.29312871901647,7.37653609646715e-08,1.2686528194428106e-33
HD 169830 b,276.9541667,-29.8166667,2.8800000000000003,1.0956646223855881,2.945796480515348,0.16679947252876998,53.750321156762055,2.2367162666987933e-06,8.643014992553982e-33
HATS-22 b,174.0083333,-29.60055557,2.74,0.953,0.18910563243937012,2.8774243618728197,5.243689942857397,5.788566690093434e-06,2.5938592973133576e-30
HD 147873 c,246.4375,-33.45361112,2.3,1.0876767343823888,2.5942678460868036,0.12098056007018544,48.38675946221375,2.19294212922388e-07,1.8223441862678975e-34
WASP-8 b,359.9,-35.0313889,2.244,1.038,0.11752450946511202,2.0541018938258704,2.5220147855622255,3.598631764535111e-05,5.006701235497211e-30
HD 117207 b,202.3375,-35.5708333,2.06,1.0727317144384627,2.3881800599788128,0.027081085004026586,46.43066977041163,1.775689382030485e-07,8.121317357362829e-35
HD 20868 b,50.1791667,-33.73,1.99,1.0729945585158769,2.3484039069725244,0.15581798350778076,45.62380237136855,1.2479465215325544e-06,2.9689339874829723e-33
HD 30856 b,72.575,-24.3688889,1.8,1.0746971408445545,2.2405758800483615,0.08625944615955003,43.322410956308644,1.1730943043019589e-07,4.077313963702808e-35
HD 98219 b,169.45,-23.9752778,1.8,1.0804896795758177,2.2647940508847264,0.13376712332963595,43.090158165615975,1.577245109469773e-07,1.597520005489035e-34
HD 50499 b,103.0083333,-33.9155556,1.71,1.0628878451307766,2.1361126573243623,0.029292581276689083,42.69461220853254,1.0805714367494231e-07,3.531336458486173e-35
HD 180902 b,289.825,-23.5580556,1.6,1.0704815999022284,2.095895483729738,0.16451347617454798,41.005606825433034,4.3848265970190894e-07,1.354889491875892e-34
HD 134987 b,228.3666667,-25.3091667,1.59,1.0659801003171732,2.07180069234511,0.08943275547495858,41.049882983795065,1.3835957971359268e-06,3.1648189927765804e-32
HD 205739 b,324.5333333,-31.7375,1.37,1.0545362365883248,1.8820645570538184,0.25190142270796767,38.51777877091667,1.1230323850681143e-06,8.529769595209327e-34
HD 114386 b,197.6625,-35.0547222,1.24,1.0366376415434784,1.6443553281266587,0.2810891923465887,35.42631565654846,1.7307455966812456e-05,5.645300010225627e-33
HD 128356 b,219.2708333,-25.80250002,0.8899999999999999,0.9989264470298777,0.6984107335906207,0.08094535296397691,16.815957949807714,1.008942715066933e-06,2.2131770726594286e-32
HD 114729 b,198.1833333,-31.8733333,0.84,0.9917020919911649,0.6038929981107317,0.06979539912985655,14.86029899732516,1.0163441089219655e-06,5.476708166632823e-34
HD 134987 c,228.3666667,-25.3091667,0.8199999999999998,0.98341526744744,0.5834004089520642,0.012489746885295945,14.722010791555746,1.1862942409634036e-07,6.372044413096949e-35
HD 4208 b,11.1083333,-26.5155556,0.8040000000000002,0.9840840785908178,0.5467498012559682,0.08998496534585305,13.769027242447788,1.5738169521734897e-06,1.2508062689378565e-33
HD 207832 c,328.15,-26.0267,0.73,0.9696046436455287,0.43454400249261144,0.06986724923383919,11.440919811512071,4.471673564942177e-07,2.2310274477012703e-34
HD 216770 b,343.9708333,-26.6586111,0.65,0.9634240340347654,0.31188989561820496,0.39424521318242556,8.37066801732921,1.2686774023744308e-05,6.521412123094249e-32
HD 207832 b,328.15,-26.0267,0.56,0.9394970631092929,0.2212156306212577,0.25887654452959363,6.4023700351466815,2.9408576137187866e-06,1.8009361820710545e-32
HD 30669 b,72.12083334,-28.41916668,0.47000000000000003,0.8992721614955328,0.1582686217739476,0.05167626229163788,5.223151396163528,2.8523267143715425e-07,1.0566871876511376e-34
HD 208487 b,329.3291667,-37.7636111,0.413,0.8951060821274408,0.10807712964475474,0.3318236546522351,3.616775227243895,7.624773630331098e-06,3.860668293077192e-32
