NAME,RA,DEC,AGE,MASS [Mj],RADIUS [Rj],MAG_MOM [MMj],PLASMA_FRQ [MHz],FRQ [MHz],PHI_KIN [mJy],PHI_MAG [mJy]
Fomalhaut b,344.4125,-29.6222222,0.44,3.0,1.0798638896834816,2.920450716640624,0.010637446105289109,55.66139253396986,0.01296446773454981,4.961545381415847e-36
HAT-36 b,291.4785,-23.20277778,3.4,2.7899999999999996,1.263,0.3791155980900967,3.613991625186681,4.516196638614038,0.0008931099148285641,1.5137605666754262e-28
HATS-16 b,358.5585,-30.01300001,9.5,3.2699999999999996,1.3,0.6757989134847937,1.972596304151335,7.382418718086048,0.00023940974470828104,4.669184391949015e-28
HATS-18 b,173.9583334,-29.15611112,4.2,1.9799999999999998,1.337,1.0106716575656995,8.931227925414463,10.149090071214838,0.005715026780054647,4.53839441060497e-27
HATS-22 b,174.0083333,-29.60055557,4.6,2.74,0.953,0.18910563243937012,2.8774243618728197,5.243689942857397,0.005788566690093434,2.5938592973133574e-27
HATS-41 b,103.5166667,-27.05027778,1.3400000000000003,9.7,1.33,0.7804429241753571,7.713257399325861,7.961547055584251,0.00811846303336558,1.2414383924347659e-28
HD 114386 b,197.6625,-35.0547222,2.19,1.24,1.0366376415434784,1.6443553281266587,0.2810891923465887,35.42631565654846,0.017307455966812456,5.645300010225627e-30
HD 114729 b,198.1833333,-31.8733333,4.58,0.84,0.9917020919911649,0.6038929981107317,0.06979539912985655,14.86029899732516,0.0010163441089219656,5.4767081666328235e-31
HD 117207 b,202.3375,-35.5708333,6.68,2.06,1.0727317144384627,2.3881800599788128,0.027081085004026586,46.43066977041163,0.0001775689382030485,8.121317357362829e-32
HD 122430 b,210.5916667,-27.4297222,3.11,3.71,1.1130580348712567,3.450434518359166,0.2035026596367519,60.052570871105104,0.0003317127625185619,2.5009777642247477e-31
HD 128356 b,219.2708333,-25.80250002,10.0,0.8899999999999999,0.9989264470298777,0.6984107335906207,0.08094535296397691,16.815957949807714,0.001008942715066933,2.2131770726594286e-29
HD 134987 b,228.3666667,-25.3091667,9.7,1.59,1.0659801003171732,2.07180069234511,0.08943275547495858,41.049882983795065,0.0013835957971359268,3.1648189927765805e-29
HD 134987 c,228.3666667,-25.3091667,9.7,0.8199999999999998,0.98341526744744,0.5834004089520642,0.012489746885295945,14.722010791555746,0.00011862942409634037,6.37204441309695e-32
HD 145377 b,242.9,-27.0780556,1.3000000000000003,5.760000000000001,1.0715092585054897,3.9843209464920517,1.027310143030639,77.7280499864706,0.03172522218496904,1.1794439121574025e-29
HD 147873 b,246.4375,-33.45361112,4.0,5.14,1.0848753899442916,3.8582688922593706,0.3151983940525905,72.52106290282194,0.0006891688524130249,3.471701460759567e-30
HD 147873 c,246.4375,-33.45361112,4.0,2.3,1.0876767343823888,2.5942678460868036,0.12098056007018544,48.38675946221375,0.000219294212922388,1.8223441862678974e-31
HD 165155 b,271.4875,-29.91722224,11.000000000000002,2.89,1.0865920190310208,2.9022389077493993,0.0570467765054838,54.29312871901647,7.376536096467149e-05,1.2686528194428105e-30
HD 169830 b,276.9541667,-29.8166667,4.95,2.8800000000000003,1.0956646223855881,2.945796480515348,0.16679947252876998,53.750321156762055,0.0022367162666987934,8.643014992553982e-30
HD 169830 c,276.9541667,-29.8166667,4.95,4.04,1.0816008348760562,3.399976592981257,0.03752988131897325,64.48907199031932,0.0002784575467328117,6.204983552992543e-32
HD 180902 b,289.825,-23.5580556,2.7999999999999994,1.6,1.0704815999022284,2.095895483729738,0.16451347617454798,41.005606825433034,0.00043848265970190895,1.354889491875892e-31
