# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
11 UMi b,10.5,10.5,0,516.22,1.54,0.08,,0.012887,117.63,,,,0,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340,,
14 Her b,4.64,4.64,0,1773.4,2.77,0.369,,0.153039,22.6,,,,0,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311,,
16 Cyg B b,1.68,1.68,0,799.5,1.68,0.689,,0.078468,83.4,,,,0,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8,5766,,
24 Sex b,1.99,1.99,0,452.8,1.333,0.09,,0.017821,9.2,,,,0,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098,,
24 Sex c,0.86,0.86,0,883,2.08,0.29,,0.027807,220.5,,,,0,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,-0.03,1.54,4.9,G5,2.7,5098,,
30 Ari B b,9.88,9.88,0,335.1,0.995,0.289,,0.025254,307,,,,0,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.4,0.12,1.22,1.23,F6V,0.91,6484,,
42 Dra b,3.88,3.88,0,479.1,1.19,0.38,,0.01223,218.7,,,,0,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,-0.46,0.98,22.03,K1.5III,9.49,4200,,
47 Uma b,2.53,2.53,0,1078,2.1,0.032,,0.150322,334,,,,0,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
47 Uma c,0.54,0.54,0,2391,3.6,0.098,,0.257695,295,,,,0,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
47 Uma d,1.64,1.64,0,14002,11.6,0.16,,0.830351,110,,,,0,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
51 Peg b,0.47,0.46,1.9,4.2308,0.052,0.0069,80,0.003537,54.1,,,,0.5,,51 Peg,344.3625,20.7686111,5.49,,,,,14.7,0.2,1.11,1.266,G2 IV,4,5793,,
55 Cnc b,0.84,0.84,0,14.65314,0.11339,0.0023,89.73,0.009303,110,,,,0,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc c,0.1784,0.1784,0,44.373,0.23735,0.072,,0.019473,356,,,,0,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc d,3.86,3.86,0,4867,5.446,0.0269,,0.466775,254,,,,0,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc e,0.02547,0.02547,0.177536225,0.7365478,0.015439,0.028,90.36,0.001264,170,,,,0,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
55 Cnc f,0.1479,0.1479,0,260.91,0.7733,0.08,,0.06329,139,,,,0,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.31,0.905,0.943,K0IV-V,10.2,5196,,
61 Vir b,0.016,0.016,0,4.215,0.050201,0.12,,0.005892,105,,,,0,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
61 Vir c,0.0573,0.0573,0,38.021,0.2175,0.14,,0.025528,341,,,,0,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
61 Vir d,0.072,0.072,0,123.01,0.476,0.35,,0.055869,314,,,,0,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
70 Vir b,6.6,6.6,0,116.67,0.48,0.43,,0.021818,2.1,,,,0,,70 Vir,202.1083333,13.7866667,5,,,,,22,-0.11,0.92,1.968,G4 V,7.09,5432,IR Excess,
8 Umi b,1.5,1.5,0,93.4,0.49,0.06,,,91,,,,0,,8 Umi,224.2,74.90083335,6.83,,,,,159.1,-0.03,1.8,9.9,K0,1.7,4847.4,,
91 Aqr b,3.2,3.2,0,181.4,0.7,0.027,,0.006593,177.3,,,,0,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.9,-0.03,1.4,11,K0 III,3.56,4665,,
Aldebaran b,6.47,6.47,0,628.96,1.46,0.1,,0.1,287,,,,0,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.43,-0.27,1.13,45.1,K5III,6.6,4055,,
BD+03 2562 b,6.4,6.4,0,481.9,1.3,0.2,,,218,,,,0,,BD+03 2562,177.5648029,2.760131134,9.58,,,,,2618,-0.71,1.14,32.35,,5.25,4095,,
BD+15 2375 b,1.06,1.06,0,153.22,0.576,0.001,,,55,,,,0,,BD+15 2375,176.4833334,14.61638891,10.3,,,,,774,-0.22,1.08,8.95,,7.4,4649,,
BD+15 2940 b,1.11,1.11,0,137.48,0.539,0.26,,,302,,,,0,,BD+15 2940,240.0958,15.5469,9.19,,,,,585,0.28,1.1,14.7,K0,7.1,4796,,
BD+20 1790 b,6.37,6.37,0,7.78287,0.066,0.22,,0.002598,200.4,,,,0,,BD+20 1790,110.9333333,20.4141667,9.93,,,,,25.4,0.3,0.63,0.71,K5V,0.057,4410,,Yes
BD-10 3166 b,0.46,0.46,1.03,3.4878,0.046,0.0104,,0.000697,345.4,,,,0,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66,0.5,0.99,1.71,G4 V,4.18,5400,,
